,equity
2019-07-06,7152201.713110722
2019-07-07,7152201.713110722
2019-07-08,7179848.937327495
2019-07-09,7179848.937327495
2019-07-10,7207865.0511996895
2019-07-11,7236241.672567352
2019-07-12,7265068.312945809
2019-07-13,7265068.312945809
2019-07-14,7265068.312945809
2019-07-15,7294520.911495112
2019-07-16,7323900.767731452
2019-07-17,7353084.198447333
2019-07-18,7381894.703407514
2019-07-19,7410290.941368324
2019-07-20,7410290.941368324
2019-07-21,7410290.941368324
2019-07-22,7438395.801368671
2019-07-23,7466320.716509708
2019-07-24,7494085.909422435
2019-07-25,7521617.256431397
2019-07-26,7548600.731720208
2019-07-27,7548600.731720208
2019-07-28,7548600.731720208
2019-07-29,7575161.419390435
2019-07-30,7601220.771614916
2019-07-31,7626516.705962274
2019-08-01,7651073.535285496
2019-08-02,7675231.639572386
2019-08-03,7675231.639572386
2019-08-04,7675231.639572386
2019-08-05,7698230.887922532
2019-08-06,7720266.476074535
2019-08-07,7741451.309100884
2019-08-08,7762392.864658811
2019-08-09,7783258.198150661
2019-08-10,7783258.198150661
2019-08-11,7783258.198150661
2019-08-12,7803723.12375351
2019-08-13,7824443.323797606
2019-08-14,7844175.715523577
2019-08-15,7862495.248753072
2019-08-16,7879691.880676465
2019-08-17,7879691.880676465
2019-08-18,7879691.880676465
2019-08-19,7895922.870239019
2019-08-20,7911173.474341854
2019-08-21,7926393.0145261
2019-08-22,7941664.766359374
2019-08-23,7956676.176821132
2019-08-24,7956676.176821132
2019-08-25,7956676.176821132
2019-08-26,7971521.250622506
2019-08-27,7986273.929698013
2019-08-28,8000657.720588259
2019-08-29,8015320.0433140835
2019-08-30,8030810.856433456
2019-08-31,8030810.856433456
2019-09-01,8030810.856433456
2019-09-02,8046757.166755273
2019-09-03,8063768.196323677
2019-09-04,8081313.385984525
2019-09-05,8099183.4081960125
2019-09-06,8117486.462557981
2019-09-07,8117486.462557981
2019-09-08,8117486.462557981
2019-09-09,8136502.302503132
2019-09-10,8155865.443711656
2019-09-11,8175318.062250214
2019-09-12,8195008.654334586
2019-09-13,8214735.817486067
2019-09-14,8214735.817486067
2019-09-15,8214735.817486067
2019-09-16,8234824.336307463
2019-09-17,8255025.14227533
2019-09-18,8275347.949192138
2019-09-19,8295721.413380921
2019-09-20,8315684.55613327
2019-09-21,8315684.55613327
2019-09-22,8315684.55613327
2019-09-23,8335570.59519302
2019-09-24,8355408.070390843
2019-09-25,8375057.448850128
2019-09-26,8394822.770846648
2019-09-27,8414820.510231098
2019-09-28,8414820.510231098
2019-09-29,8414820.510231098
2019-09-30,8434853.63253851
2019-10-01,8455184.849707343
2019-10-02,8475255.86417886
2019-10-03,8495020.840396795
2019-10-04,8514392.802386586
2019-10-05,8514392.802386586
2019-10-06,8514392.802386586
2019-10-07,8533234.620730937
2019-10-08,8551623.559950123
2019-10-09,8569979.674222501
2019-10-10,8588607.727876551
2019-10-11,8608054.612967957
2019-10-12,8608054.612967957
2019-10-13,8608054.612967957
2019-10-14,8628278.04998499
2019-10-15,8649442.273811849
2019-10-16,8671247.033436254
2019-10-17,8693310.839110222
2019-10-18,8715569.718131386
2019-10-19,8715569.718131386
2019-10-20,8715569.718131386
2019-10-21,8737985.006679174
2019-10-22,8760758.503788035
2019-10-23,8783885.171837868
2019-10-24,8807153.989234913
2019-10-25,8831400.281897107
2019-10-26,8831400.281897107
2019-10-27,8831400.281897107
2019-10-28,8856282.029203117
2019-10-29,8881603.90324626
2019-10-30,8907232.787699385
2019-10-31,8933257.17671813
2019-11-01,8959683.636797594
2019-11-02,8959683.636797594
2019-11-03,8959683.636797594
2019-11-04,8986424.598430894
2019-11-05,9013113.220976966
2019-11-06,9039739.578725724
2019-11-07,9066455.246016681
2019-11-08,9092877.238212693
2019-11-09,9092877.238212693
2019-11-10,9092877.238212693
2019-11-11,9119300.35386774
2019-11-12,9145701.45651769
2019-11-13,9172057.195707154
2019-11-14,9198023.235646265
2019-11-15,9198023.235646265
2019-11-16,9198023.235646265
2019-11-17,9198023.235646265
2019-11-18,9223719.289136406
2019-11-19,9248983.871777466
2019-11-20,9248983.871777466
2019-11-21,9274203.03536037
2019-11-22,9299997.587014783
2019-11-23,9299997.587014783
2019-11-24,9299997.587014783
2019-11-25,9326436.16673263
2019-11-26,9353476.591823757
2019-11-27,9380643.252628613
2019-11-28,9407720.598881645
2019-11-29,9434528.562121162
2019-11-30,9434528.562121162
2019-12-01,9434528.562121162
2019-12-02,9461138.810011838
2019-12-03,9487610.963532265
2019-12-04,9514187.049586762
2019-12-05,9540941.000851255
2019-12-06,9568006.052231144
2019-12-07,9568006.052231144
2019-12-08,9568006.052231144
2019-12-09,9595415.604782294
2019-12-10,9623216.409104185
2019-12-11,9651261.594124988
2019-12-12,9679566.722364016
2019-12-13,9707754.209840046
2019-12-14,9707754.209840046
2019-12-15,9707754.209840046
2019-12-16,9735700.431161156
2019-12-17,9763418.299506692
2019-12-18,9791091.500633864
2019-12-19,9818662.02704299
2019-12-20,9846290.407261405
2019-12-21,9846290.407261405
2019-12-22,9846290.407261405
2019-12-23,9874196.906499758
2019-12-24,9874196.906499758
2019-12-25,9874196.906499758
2019-12-26,9902481.291903209
2019-12-27,9930776.635261608
2019-12-28,9930776.635261608
2019-12-29,9930776.635261608
2019-12-30,9958922.693094825
2019-12-31,9958922.693094825
2020-01-01,9958922.693094825
2020-01-02,9987225.650920175
2020-01-03,10015470.81176489
2020-01-04,10015470.81176489
2020-01-05,10015470.81176489
2020-01-06,10043743.042255152
2020-01-07,10072049.06913502
2020-01-08,10100339.787815996
2020-01-09,10128463.03534648
2020-01-10,10156521.67280654
2020-01-11,10156521.67280654
2020-01-12,10156521.67280654
2020-01-13,10184409.291848948
2020-01-14,10212060.051096745
2020-01-15,10239396.843511881
2020-01-16,10266435.327501692
2020-01-17,10293297.036497774
2020-01-18,10293297.036497774
2020-01-19,10293297.036497774
2020-01-20,10320070.63205323
2020-01-21,10346738.552630804
2020-01-22,10373289.714060424
2020-01-23,10399805.29270933
2020-01-24,10426174.161013251
2020-01-25,10426174.161013251
2020-01-26,10426174.161013251
2020-01-27,10451937.04025686
2020-01-28,10477375.074324962
2020-01-29,10502718.576803971
2020-01-30,10527840.307184724
2020-01-31,10552606.019860003
2020-02-01,10552606.019860003
2020-02-02,10552606.019860003
2020-02-03,10577203.07682362
2020-02-04,10601758.71798097
2020-02-05,10626933.539869979
2020-02-06,10652731.647731652
2020-02-07,10678966.266664308
2020-02-08,10678966.266664308
2020-02-09,10678966.266664308
2020-02-10,10704959.285981556
2020-02-11,10730838.059058437
2020-02-12,10757203.060703546
2020-02-13,10783804.30897395
2020-02-14,10810391.520484893
2020-02-15,10810391.520484893
2020-02-16,10810391.520484893
2020-02-17,10837382.88373167
2020-02-18,10864330.779422848
2020-02-19,10891528.653663574
