,equity
2019-02-05,607535.0339960079
2019-02-06,615905.0365794
2019-02-07,623359.6686488612
2019-02-08,630184.8633808034
2019-02-09,630184.8633808034
2019-02-10,630184.8633808034
2019-02-11,636451.3319386801
2019-02-12,642773.9381413434
2019-02-13,649876.9102679497
2019-02-14,658203.0781062191
2019-02-15,666977.7584979975
2019-02-16,666977.7584979975
2019-02-17,666977.7584979975
2019-02-18,676387.4552133054
2019-02-19,686051.4132535937
2019-02-20,686051.4132535937
2019-02-21,686051.4132535937
2019-02-22,695965.3916185233
2019-02-23,695965.3916185233
2019-02-24,695965.3916185233
2019-02-25,695965.3916185233
2019-02-26,695965.3916185233
2019-02-27,706083.2930952789
2019-02-28,706083.2930952789
2019-03-01,706083.2930952789
2019-03-02,706083.2930952789
2019-03-03,706083.2930952789
2019-03-04,706083.2930952789
2019-03-05,706083.2930952789
2019-03-06,706083.2930952789
2019-03-07,706083.2930952789
2019-03-08,706083.2930952789
2019-03-09,706083.2930952789
2019-03-10,706083.2930952789
2019-03-11,706083.2930952789
2019-03-12,706083.2930952789
2019-03-13,706083.2930952789
2019-03-14,706083.2930952789
2019-03-15,706083.2930952789
2019-03-16,706083.2930952789
2019-03-17,706083.2930952789
2019-03-18,706083.2930952789
2019-03-19,706083.2930952789
2019-03-20,706083.2930952789
2019-03-21,706083.2930952789
2019-03-22,706083.2930952789
2019-03-23,706083.2930952789
2019-03-24,706083.2930952789
2019-03-25,706083.2930952789
2019-03-26,706083.2930952789
2019-03-27,706083.2930952789
2019-03-28,706083.2930952789
2019-03-29,706083.2930952789
2019-03-30,706083.2930952789
2019-03-31,706083.2930952789
2019-04-01,706083.2930952789
2019-04-02,706083.2930952789
2019-04-03,706083.2930952789
2019-04-04,706083.2930952789
2019-04-05,706083.2930952789
2019-04-06,706083.2930952789
2019-04-07,706083.2930952789
2019-04-08,706083.2930952789
2019-04-09,706083.2930952789
2019-04-10,706083.2930952789
2019-04-11,706083.2930952789
2019-04-12,706083.2930952789
2019-04-13,706083.2930952789
2019-04-14,706083.2930952789
2019-04-15,706083.2930952789
2019-04-16,706083.2930952789
2019-04-17,706083.2930952789
2019-04-18,706083.2930952789
2019-04-19,706083.2930952789
2019-04-20,706083.2930952789
2019-04-21,706083.2930952789
2019-04-22,706083.2930952789
2019-04-23,706083.2930952789
2019-04-24,706083.2930952789
2019-04-25,706083.2930952789
2019-04-26,706083.2930952789
2019-04-27,706083.2930952789
2019-04-28,706083.2930952789
2019-04-29,706083.2930952789
2019-04-30,706083.2930952789
2019-05-01,706083.2930952789
2019-05-02,715932.3255231451
2019-05-03,725753.4600032854
2019-05-04,725753.4600032854
2019-05-05,725753.4600032854
2019-05-06,735311.2677652951
2019-05-07,744753.4808140491
2019-05-08,754126.8266472864
2019-05-09,763304.0987972828
2019-05-10,772441.0956630155
2019-05-11,772441.0956630155
2019-05-12,772441.0956630155
2019-05-13,781176.9857869948
2019-05-14,789453.2147790723
2019-05-15,797503.109212566
2019-05-16,805147.5810725214
2019-05-17,812613.0978335581
2019-05-18,812613.0978335581
2019-05-19,812613.0978335581
2019-05-20,819769.7627001657
2019-05-21,826969.5232191301
2019-05-22,833932.7243395438
2019-05-23,841189.9131380268
2019-05-24,848579.951934504
2019-05-25,848579.951934504
2019-05-26,848579.951934504
2019-05-27,856613.994640047
2019-05-28,865152.9425341571
2019-05-29,874238.5858875148
2019-05-30,883593.8415690219
2019-05-31,892937.0482505291
2019-06-01,892937.0482505291
2019-06-02,892937.0482505291
2019-06-03,892937.0482505291
2019-06-04,892937.0482505291
2019-06-05,892937.0482505291
2019-06-06,892937.0482505291
2019-06-07,892937.0482505291
2019-06-08,892937.0482505291
2019-06-09,892937.0482505291
2019-06-10,892937.0482505291
2019-06-11,892937.0482505291
2019-06-12,902800.0126121488
2019-06-13,902800.0126121488
2019-06-14,902800.0126121488
2019-06-15,902800.0126121488
2019-06-16,902800.0126121488
2019-06-17,902800.0126121488
2019-06-18,902800.0126121488
2019-06-19,902800.0126121488
2019-06-20,902800.0126121488
2019-06-21,902800.0126121488
2019-06-22,902800.0126121488
2019-06-23,902800.0126121488
2019-06-24,902800.0126121488
2019-06-25,902800.0126121488
2019-06-26,902800.0126121488
2019-06-27,902800.0126121488
2019-06-28,902800.0126121488
2019-06-29,902800.0126121488
2019-06-30,902800.0126121488
2019-07-01,902800.0126121488
2019-07-02,902800.0126121488
2019-07-03,902800.0126121488
2019-07-04,902800.0126121488
2019-07-05,902800.0126121488
2019-07-06,902800.0126121488
2019-07-07,902800.0126121488
2019-07-08,902800.0126121488
2019-07-09,902800.0126121488
2019-07-10,902800.0126121488
2019-07-11,902800.0126121488
2019-07-12,902800.0126121488
2019-07-13,902800.0126121488
2019-07-14,902800.0126121488
2019-07-15,913053.6898063677
2019-07-16,913053.6898063677
2019-07-17,913053.6898063677
2019-07-18,913053.6898063677
2019-07-19,913053.6898063677
2019-07-20,913053.6898063677
2019-07-21,913053.6898063677
2019-07-22,913053.6898063677
2019-07-23,913053.6898063677
2019-07-24,913053.6898063677
2019-07-25,913053.6898063677
2019-07-26,913053.6898063677
2019-07-27,913053.6898063677
2019-07-28,913053.6898063677
2019-07-29,913053.6898063677
2019-07-30,913053.6898063677
2019-07-31,923061.9829365262
2019-08-01,932548.4214443079
2019-08-02,941533.7442203239
2019-08-03,941533.7442203239
2019-08-04,941533.7442203239
2019-08-05,949675.8431526049
2019-08-06,957059.5633887844
2019-08-07,963870.7140677102
2019-08-08,970458.1981977518
2019-08-09,976795.4389827304
2019-08-10,976795.4389827304
2019-08-11,976795.4389827304
2019-08-12,982840.8228766557
2019-08-13,989015.9278884148
2019-08-14,994667.3580720606
2019-08-15,999705.0282093708
2019-08-16,1004407.2860095636
2019-08-17,1004407.2860095636
2019-08-18,1004407.2860095636
2019-08-19,1008680.3747157383
2019-08-20,1012475.9978223064
2019-08-21,1016068.5079722588
2019-08-22,1019522.9891134525
2019-08-23,1022737.3830395262
2019-08-24,1022737.3830395262
2019-08-25,1022737.3830395262
2019-08-26,1025776.5527817652
2019-08-27,1028739.4590182498
2019-08-28,1028739.4590182498
2019-08-29,1028739.4590182498
2019-08-30,1032168.5921570255
2019-08-31,1032168.5921570255
2019-09-01,1032168.5921570255
2019-09-02,1032168.5921570255
2019-09-03,1036095.9565215645
2019-09-04,1036095.9565215645
2019-09-05,1036095.9565215645
2019-09-06,1036095.9565215645
2019-09-07,1036095.9565215645
2019-09-08,1036095.9565215645
2019-09-09,1036095.9565215645
2019-09-10,1036095.9565215645
2019-09-11,1036095.9565215645
2019-09-12,1036095.9565215645
2019-09-13,1036095.9565215645
2019-09-14,1036095.9565215645
2019-09-15,1036095.9565215645
2019-09-16,1036095.9565215645
2019-09-17,1036095.9565215645
2019-09-18,1036095.9565215645
2019-09-19,1036095.9565215645
2019-09-20,1036095.9565215645
2019-09-21,1036095.9565215645
2019-09-22,1036095.9565215645
2019-09-23,1036095.9565215645
2019-09-24,1036095.9565215645
2019-09-25,1036095.9565215645
2019-09-26,1036095.9565215645
2019-09-27,1036095.9565215645
2019-09-28,1036095.9565215645
2019-09-29,1036095.9565215645
2019-09-30,1036095.9565215645
2019-10-01,1040155.8624852406
2019-10-02,1040155.8624852406
2019-10-03,1040155.8624852406
2019-10-04,1040155.8624852406
2019-10-05,1040155.8624852406
2019-10-06,1040155.8624852406
2019-10-07,1040155.8624852406
2019-10-08,1040155.8624852406
2019-10-09,1044280.9513893931
2019-10-10,1048730.975094599
2019-10-11,1053674.3521091247
2019-10-12,1053674.3521091247
2019-10-13,1053674.3521091247
2019-10-14,1058970.6941561035
2019-10-15,1064745.466068069
2019-10-16,1070668.8514601344
2019-10-17,1070668.8514601344
2019-10-18,1070668.8514601344
2019-10-19,1070668.8514601344
2019-10-20,1070668.8514601344
2019-10-21,1070668.8514601344
2019-10-22,1070668.8514601344
2019-10-23,1070668.8514601344
2019-10-24,1070668.8514601344
2019-10-25,1077041.1993268072
2019-10-26,1077041.1993268072
2019-10-27,1077041.1993268072
2019-10-28,1077041.1993268072
2019-10-29,1077041.1993268072
2019-10-30,1077041.1993268072
2019-10-31,1077041.1993268072
2019-11-01,1077041.1993268072
2019-11-02,1077041.1993268072
2019-11-03,1077041.1993268072
2019-11-04,1077041.1993268072
2019-11-05,1077041.1993268072
2019-11-06,1077041.1993268072
2019-11-07,1077041.1993268072
2019-11-08,1077041.1993268072
2019-11-09,1077041.1993268072
2019-11-10,1077041.1993268072
2019-11-11,1077041.1993268072
2019-11-12,1077041.1993268072
2019-11-13,1077041.1993268072
2019-11-14,1077041.1993268072
2019-11-15,1077041.1993268072
2019-11-16,1077041.1993268072
2019-11-17,1077041.1993268072
2019-11-18,1077041.1993268072
2019-11-19,1077041.1993268072
2019-11-20,1077041.1993268072
2019-11-21,1077041.1993268072
2019-11-22,1083967.4978142397
2019-11-23,1083967.4978142397
2019-11-24,1083967.4978142397
2019-11-25,1091539.753466274
2019-11-26,1099746.3963795186
2019-11-27,1099746.3963795186
2019-11-28,1099746.3963795186
2019-11-29,1099746.3963795186
2019-11-30,1099746.3963795186
2019-12-01,1099746.3963795186
2019-12-02,1099746.3963795186
2019-12-03,1099746.3963795186
2019-12-04,1099746.3963795186
2019-12-05,1099746.3963795186
2019-12-06,1099746.3963795186
2019-12-07,1099746.3963795186
2019-12-08,1099746.3963795186
2019-12-09,1099746.3963795186
2019-12-10,1099746.3963795186
2019-12-11,1099746.3963795186
2019-12-12,1099746.3963795186
2019-12-13,1099746.3963795186
2019-12-14,1099746.3963795186
2019-12-15,1099746.3963795186
2019-12-16,1099746.3963795186
2019-12-17,1099746.3963795186
2019-12-18,1099746.3963795186
2019-12-19,1099746.3963795186
2019-12-20,1099746.3963795186
2019-12-21,1099746.3963795186
2019-12-22,1099746.3963795186
2019-12-23,1099746.3963795186
2019-12-24,1099746.3963795186
2019-12-25,1099746.3963795186
2019-12-26,1099746.3963795186
2019-12-27,1099746.3963795186
2019-12-28,1099746.3963795186
2019-12-29,1099746.3963795186
2019-12-30,1099746.3963795186
2019-12-31,1099746.3963795186
2020-01-01,1099746.3963795186
2020-01-02,1099746.3963795186
2020-01-03,1099746.3963795186
2020-01-04,1099746.3963795186
2020-01-05,1099746.3963795186
2020-01-06,1099746.3963795186
2020-01-07,1099746.3963795186
2020-01-08,1099746.3963795186
2020-01-09,1099746.3963795186
2020-01-10,1099746.3963795186
2020-01-11,1099746.3963795186
2020-01-12,1099746.3963795186
2020-01-13,1099746.3963795186
2020-01-14,1099746.3963795186
2020-01-15,1099746.3963795186
2020-01-16,1099746.3963795186
2020-01-17,1099746.3963795186
2020-01-18,1099746.3963795186
2020-01-19,1099746.3963795186
2020-01-20,1099746.3963795186
2020-01-21,1099746.3963795186
2020-01-22,1099746.3963795186
2020-01-23,1099746.3963795186
2020-01-24,1099746.3963795186
2020-01-25,1099746.3963795186
2020-01-26,1099746.3963795186
2020-01-27,1099746.3963795186
2020-01-28,1099746.3963795186
2020-01-29,1099746.3963795186
2020-01-30,1099746.3963795186
2020-01-31,1107671.9207737325
2020-02-01,1107671.9207737325
2020-02-02,1107671.9207737325
