,equity
2019-09-20,5293950.152155839
2019-09-21,5293950.152155839
2019-09-22,5293950.152155839
2019-09-23,5309908.82685105
2019-09-24,5325818.937684334
2019-09-25,5341540.95177908
2019-09-26,5357378.90941106
2019-09-27,5373449.28443097
2019-09-28,5373449.28443097
2019-09-29,5373449.28443097
2019-09-30,5389555.042373844
2019-10-01,5405826.3535790015
2019-10-02,5421837.462086844
2019-10-03,5437542.532341103
2019-10-04,5452854.588367218
2019-10-05,5452854.588367218
2019-10-06,5452854.588367218
2019-10-07,5467636.500747894
2019-10-08,5481965.534003404
2019-10-09,5496196.55937163
2019-10-10,5510374.589320473
2019-10-11,5524878.0973973535
2019-10-12,5524878.0973973535
2019-10-13,5524878.0973973535
2019-10-14,5539805.1923674075
2019-10-15,5555194.644282301
2019-10-16,5571076.01851464
2019-10-17,5587216.438796542
2019-10-18,5603551.9324256405
2019-10-19,5603551.9324256405
2019-10-20,5603551.9324256405
2019-10-21,5620043.835581362
2019-10-22,5636893.94729816
2019-10-23,5654097.229955927
2019-10-24,5671442.661960906
2019-10-25,5689316.606756426
2019-10-26,5689316.606756426
2019-10-27,5689316.606756426
2019-10-28,5707826.006195763
2019-10-29,5726775.5323722325
2019-10-30,5746032.068958684
2019-10-31,5765684.110110757
2019-11-01,5785738.222323548
2019-11-02,5785738.222323548
2019-11-03,5785738.222323548
2019-11-04,5806106.836090175
2019-11-05,5826423.110769574
2019-11-06,5846677.12065166
2019-11-07,5867020.440075944
2019-11-08,5887070.084405284
2019-11-09,5887070.084405284
2019-11-10,5887070.084405284
2019-11-11,5907120.852193657
2019-11-12,5927149.606976937
2019-11-13,5947132.998299726
2019-11-14,5966726.690372165
2019-11-15,5966726.690372165
2019-11-16,5966726.690372165
2019-11-17,5966726.690372165
2019-11-18,5986050.395995635
2019-11-19,6004942.630770022
2019-11-20,6004942.630770022
2019-11-21,6023789.446486254
2019-11-22,6042657.699653236
2019-11-23,6042657.699653236
2019-11-24,6042657.699653236
2019-11-25,6061524.023719047
2019-11-26,6080357.805896929
2019-11-27,6099317.823788541
2019-11-28,6118188.5271283295
2019-11-29,6136789.847454602
2019-11-30,6136789.847454602
2019-12-01,6136789.847454602
2019-12-02,6155193.452432033
2019-12-03,6173458.963039216
2019-12-04,6191828.406180467
2019-12-05,6210375.714531715
2019-12-06,6229234.12299836
2019-12-07,6229234.12299836
2019-12-08,6229234.12299836
2019-12-09,6248437.032636265
2019-12-10,6268031.194044911
2019-12-11,6287869.736152468
2019-12-12,6307968.221478251
2019-12-13,6327949.066041037
2019-12-14,6327949.066041037
2019-12-15,6327949.066041037
2019-12-16,6347688.644448902
2019-12-17,6367199.869881195
2019-12-18,6386666.428095122
2019-12-19,6406030.311591005
2019-12-20,6425452.048896174
2019-12-21,6425452.048896174
2019-12-22,6425452.048896174
2019-12-23,6445151.905221283
2019-12-24,6445151.905221283
2019-12-25,6445151.905221283
2019-12-26,6465229.647711489
2019-12-27,6485318.348156644
2019-12-28,6485318.348156644
2019-12-29,6485318.348156644
2019-12-30,6505257.7630766155
2019-12-31,6505257.7630766155
2020-01-01,6505257.7630766155
2020-01-02,6525354.07798872
2020-01-03,6545392.595920189
2020-01-04,6545392.595920189
2020-01-05,6545392.595920189
2020-01-06,6565458.183497206
2020-01-07,6585557.567463829
2020-01-08,6605641.643231561
2020-01-09,6625558.247848801
2020-01-10,6645410.242395618
2020-01-11,6645410.242395618
2020-01-12,6645410.242395618
2020-01-13,6665091.218524781
2020-01-14,6684535.334859332
2020-01-15,6703665.484361224
2020-01-16,6722497.32543779
2020-01-17,6741152.391520627
2020-01-18,6741152.391520627
2020-01-19,6741152.391520627
2020-01-20,6759719.344162839
2020-01-21,6778180.621827169
2020-01-22,6796525.140343544
2020-01-23,6814834.076079206
2020-01-24,6832996.301469882
2020-01-25,6832996.301469882
2020-01-26,6832996.301469882
2020-01-27,6850552.537800247
2020-01-28,6867783.928955104
2020-01-29,6884920.788520869
2020-01-30,6901835.875988378
2020-01-31,6918676.064269442
2020-02-01,6918676.064269442
2020-02-02,6918676.064269442
2020-02-03,6935416.288841816
2020-02-04,6952016.897917902
2020-02-05,6968644.375001234
2020-02-06,6985451.930042248
2020-02-07,7002391.21527323
2020-02-08,7002391.21527323
2020-02-09,7002391.21527323
2020-02-10,7019486.010963681
2020-02-11,7036716.7983671175
2020-02-12,7054433.814338781
2020-02-13,7072387.076935738
2020-02-14,7090511.765366768
2020-02-15,7090511.765366768
2020-02-16,7090511.765366768
2020-02-17,7108610.8192928
2020-02-18,7126734.9557963135
2020-02-19,7145109.070849378
2020-02-20,7163491.249634108
2020-02-21,7181696.0259285625
2020-02-22,7181696.0259285625
2020-02-23,7181696.0259285625
2020-02-24,7181696.0259285625
2020-02-25,7181696.0259285625
2020-02-26,7198908.043488604
2020-02-27,7214578.067511496
2020-02-28,7228463.333714999
2020-02-29,7228463.333714999
2020-03-01,7228463.333714999
2020-03-02,7241326.743394228
2020-03-03,7253812.001164762
2020-03-04,7266740.132168458
2020-03-05,7279707.907753372
2020-03-06,7291616.598984837
2020-03-07,7291616.598984837
2020-03-08,7291616.598984837
2020-03-09,7299553.910775172
2020-03-10,7304004.650715155
2020-03-11,7304463.11382282
2020-03-12,7300137.76867365
2020-03-13,7294447.23338451
2020-03-14,7294447.23338451
2020-03-15,7294447.23338451
2020-03-16,7285763.446426781
2020-03-17,7274852.073551144
2020-03-18,7262193.69440055
2020-03-19,7247609.392686171
2020-03-20,7232308.198233623
2020-03-21,7232308.198233623
2020-03-22,7232308.198233623
2020-03-23,7215450.872296834
2020-03-24,7199819.872180623
2020-03-25,7187112.723767308
2020-03-26,7175369.916721617
2020-03-27,7164597.756994328
2020-03-28,7164597.756994328
2020-03-29,7164597.756994328
2020-03-30,7154457.976454624
2020-03-31,7144872.647941509
2020-04-01,7135205.860979475
2020-04-02,7127188.714857631
2020-04-03,7120824.955279771
2020-04-04,7120824.955279771
2020-04-05,7120824.955279771
2020-04-06,7116044.770348548
2020-04-07,7113445.880406804
2020-04-08,7112081.728392239
2020-04-09,7111024.578778351
2020-04-10,7111024.578778351
2020-04-11,7111024.578778351
2020-04-12,7111024.578778351
2020-04-13,7110503.70041038
2020-04-14,7110043.050421858
2020-04-15,7109497.656151982
2020-04-16,7107702.785636119
2020-04-17,7105485.672053777
2020-04-18,7105485.672053777
2020-04-19,7105485.672053777
2020-04-20,7102627.86893691
2020-04-21,7102627.86893691
2020-04-22,7100200.692575522
2020-04-23,7097929.466361987
2020-04-24,7095773.208404336
2020-04-25,7095773.208404336
2020-04-26,7095773.208404336
2020-04-27,7094231.550760862
2020-04-28,7093561.157762554
2020-04-29,7093460.1428872915
2020-04-30,7094161.969715969
2020-05-01,7094161.969715969
2020-05-02,7094161.969715969
2020-05-03,7094161.969715969
2020-05-04,7095620.057863141
2020-05-05,7097594.297732153
2020-05-06,7099264.385771557
2020-05-07,7100622.122670824
2020-05-08,7102570.25133038
2020-05-09,7102570.25133038
2020-05-10,7102570.25133038
2020-05-11,7104646.026897383
2020-05-12,7106860.874990432
2020-05-13,7108973.564574375
2020-05-14,7110882.579058129
2020-05-15,7112151.160123593
2020-05-16,7112151.160123593
2020-05-17,7112151.160123593
2020-05-18,7113413.11943645
2020-05-19,7114893.071481109
2020-05-20,7117452.95995346
2020-05-21,7120667.868111301
2020-05-22,7124185.675120971
2020-05-23,7124185.675120971
2020-05-24,7124185.675120971
2020-05-25,7128215.504302089
2020-05-26,7132537.138342432
2020-05-27,7137067.265859787
2020-05-28,7142101.332694201
2020-05-29,7147564.858811737
2020-05-30,7147564.858811737
2020-05-31,7147564.858811737
2020-06-01,7153191.540319388
2020-06-02,7159614.283058919
2020-06-03,7166929.017652897
2020-06-04,7175193.370109399
2020-06-05,7184413.4447483355
2020-06-06,7184413.4447483355
2020-06-07,7184413.4447483355
2020-06-08,7194479.330293487
2020-06-09,7204469.149471278
2020-06-10,7214451.622448022
2020-06-11,7214451.622448022
2020-06-12,7223663.885398271
2020-06-13,7223663.885398271
2020-06-14,7223663.885398271
2020-06-15,7232043.727334347
2020-06-16,7240111.955852841
2020-06-17,7247962.589677253
2020-06-18,7256276.469371649
2020-06-19,7265416.289827558
2020-06-20,7265416.289827558
2020-06-21,7265416.289827558
2020-06-22,7274261.1579636745
2020-06-23,7283173.1480461955
2020-06-24,7291988.1309701605
2020-06-25,7300550.182491104
2020-06-26,7308748.360460446
2020-06-27,7308748.360460446
2020-06-28,7308748.360460446
2020-06-29,7317141.869023312
2020-06-30,7325551.275810733
2020-07-01,7334331.253387294
2020-07-02,7343499.964312158
2020-07-03,7353073.715343115
2020-07-04,7353073.715343115
2020-07-05,7353073.715343115
2020-07-06,7363183.711232726
2020-07-07,7373502.374817044
2020-07-08,7384057.884730124
2020-07-09,7394687.932429015
2020-07-10,7405359.553469261
2020-07-11,7405359.553469261
