Date,equity
2022-03-23,2.6337057646550054e+51
2022-03-24,2.643143940698756e+51
2022-03-24,1.3199718943823435e+51
2022-03-25,1.3175098193515918e+51
2022-03-25,2.6603548864405703e+51
2022-03-28,2.6603548864405703e+51
2022-03-28,2.6406042419806692e+51
2022-03-29,5.251170560433985e+51
2022-03-29,2.6696473688709452e+51
2022-03-30,5.307182649959416e+51
2022-03-30,2.698275742046567e+51
2022-03-31,5.332002341910046e+51
2022-03-31,5.40270139229231e+51
2022-04-01,5.366685210683363e+51
2022-04-01,1.060128080521953e+52
2022-04-04,1.0681498493939374e+52
2022-04-04,5.3413105142772267e+51
2022-04-05,5.3159677823858426e+51
2022-04-05,1.0442812226372155e+52
2022-04-06,5.313515628814874e+51
2022-04-06,1.0560520586900906e+52
2022-04-07,1.060793034443363e+52
2022-04-07,5.450876477160127e+51
2022-04-08,1.044764628224422e+52
2022-04-08,5.464776685129715e+51
2022-04-11,5.443517451789279e+51
2022-04-11,1.0353614326051783e+52
2022-04-12,1.0447445703964991e+52
2022-04-12,1.0361314558158561e+52
2022-04-13,1.940412554591612e+52
2022-04-13,1.0470648472786813e+52
2022-04-14,1.9205198111812316e+52
2022-04-14,9.969535662858891e+51
2022-04-18,9.882421763133885e+51
2022-04-18,1.9443053776111297e+52
2022-04-19,1.8981395956461348e+52
2022-04-19,1.0030983010135904e+52
2022-04-20,1.8617181600906487e+52
2022-04-20,1.005477860099884e+52
2022-04-22,1.7766157597392087e+52
2022-04-22,9.858229605307206e+51
2022-04-25,1.754900339248217e+52
2022-04-25,9.786901508972959e+51
2022-04-26,1.7555270770630622e+52
2022-04-26,1.7536305672447242e+52
2022-04-27,3.272735712619456e+52
2022-04-27,1.7536305672447242e+52
2022-04-28,3.331914021341167e+52
2022-04-28,1.7594609682353636e+52
2022-04-29,1.7601911933568656e+52
2022-04-29,3.289459537014767e+52
2022-05-02,1.7515365574160014e+52
2022-05-02,3.2787854475038965e+52
2022-05-03,1.759325713255434e+52
2022-05-03,3.2808473713913684e+52
2022-05-04,3.3588317890100085e+52
2022-05-04,6.02532425976145e+52
2022-05-05,3.3556151983990987e+52
2022-05-05,5.945983736365454e+52
2022-05-06,3.411904409336473e+52
2022-05-06,5.887528639078915e+52
2022-05-09,5.887528639078915e+52
2022-05-09,5.837444053843932e+52
2022-05-10,5.862650487996157e+52
2022-05-10,9.74265800939315e+52
2022-05-11,1.002623176725332e+53
2022-05-11,5.964376994043495e+52
2022-05-12,5.987364092811114e+52
2022-05-12,9.921311844943042e+52
2022-05-13,6.026640961893695e+52
2022-05-13,9.913277560685354e+52
2022-05-16,6.056991378169162e+52
2022-05-16,9.994450850433622e+52
2022-05-17,9.872018805729636e+52
2022-05-17,1.638840121772201e+53
2022-05-18,9.792063002850602e+52
2022-05-18,1.6099989311739486e+53
2022-05-19,1.639553945760139e+53
2022-05-19,9.875441322426e+52
2022-05-20,9.97175454121138e+52
2022-05-20,1.6747206003564919e+53
2022-05-23,1.0171676169586356e+53
2022-05-23,1.698944641867224e+53
2022-05-24,9.502490421735932e+52
2022-05-24,1.7439344062301567e+53
2022-05-25,9.570598259624431e+52
2022-05-25,1.747869568092246e+53
2022-05-26,1.747112766224699e+53
2022-05-26,9.582524567293515e+52
2022-05-27,9.35392084532039e+52
2022-05-27,1.7589627833555284e+53
2022-05-30,9.262778134634433e+52
2022-05-30,1.7728583020343762e+53
2022-05-31,9.271793330592528e+52
2022-05-31,1.7883371583207667e+53
2022-06-01,1.8194707174648334e+53
2022-06-01,9.265658787559614e+52
2022-06-02,1.8449297584853162e+53
